commitment,day,time,duration,category,owner,notes
Deep Work block,Mon,09:00,2h,focus,Alex,protected, no meetings
Deep Work block,Tue,09:00,2h,focus,Alex,protected
Deep Work block,Thu,09:00,2h,focus,Alex,protected
Team standup,Mon-Fri,09:30,15m,work,Alex,TechFlow
Weekly 1:1 with manager,Fri,11:00,30m,work,Alex,TechFlow
No-meeting day,Wed,all day,-,focus,Alex,meeting-free
Maya school/camp dropoff,Mon-Fri,08:30,-,family,Alex/Jordan,Sunset Valley
Maya swim lessons,Tue,16:00,45m,family,Jordan,pool
Maya swim lessons,Thu,16:00,45m,family,Alex,pool
Long run (training),Sat,07:00,2h,fitness,Alex,half-marathon build
Family dinner,Sun,18:00,1h,family,all,no screens
Consulting admin (invoices),Fri,16:00,45m,career,Alex,Alex Rivera Consulting LLC
Mortgage payment (auto),1st of month,-,-,homestead,Alex,Lone Star, PITI ~$3,180
