item,areas,urgency,status,next_action,due
Q2 estimated tax payment,tax / people,high,in_progress,Send Maria consulting revenue then pay via DirectPay,2026-06-15
HVAC replace vs repair (~$9000),homestead / wealth / insurance,high,decision_pending,Confirm full replacement with CoolBreeze; pay from cash,2026-06-18
Acme deliverable,career,high,in_progress,Finish milestone and schedule final review,2026-06-20
GEICO auto renewal,insurance,medium,not_started,Compare quotes before auto-charge,2026-07-01
$1M umbrella policy decision,insurance / wealth,medium,decision_pending,Bind umbrella at September Allstate renewal,2026-09-01
Phoenix rental trip,travel / homestead,medium,planning,Set dates with Sun Valley PM; book flights,2026-07-15
RSU vesting tax coordination,career / tax,low,monitoring,Flag August vest with CPA after Q2 is paid,2026-08-15
LDL recheck,health,low,scheduled,Keep diet and Saturday runs; confirm Aug labs with Dr. Chen,2026-08-31
Half-marathon training,fitness / health,low,on_track,Hold Saturday long run cadence,2026-11-15
Staff promotion packet,career,low,monitoring,Begin drafting in Q4,2026-10-01
