date,type,detail,duration_min,distance_mi,pace_per_mi,rpe
2026-04-27,strength,Lower (squat 225x5),55,,,7
2026-04-29,run,Easy,40,4.0,10:00,4
2026-04-30,strength,Upper (bench 165x5),50,,,7
2026-05-02,run,Long run,72,7.0,10:18,6
2026-05-03,strength,Lower (deadlift 295x3),58,,,8
2026-05-04,run,Easy,42,4.0,10:30,4
2026-05-06,strength,Upper (bench 170x5),50,,,7
2026-05-09,run,Long run,78,7.5,10:24,6
2026-05-10,strength,Lower (squat 235x5),56,,,7
2026-05-13,run,Tempo 3mi,38,5.0,8:45,8
2026-05-14,strength,Upper (overhead press 115x5),48,,,7
2026-05-16,run,Long run,84,8.0,10:30,6
2026-05-17,strength,Lower (deadlift 305x3),58,,,8
2026-05-20,run,Easy,45,4.5,10:20,4
2026-05-21,strength,Upper (bench 175x3),52,,,8
2026-05-23,run,Long run,90,8.5,10:35,7
2026-05-24,strength,Lower (squat 245x3),58,,,8
2026-05-27,run,Easy,42,4.0,10:15,4
2026-05-28,strength,Upper (bench 170x5),50,,,7
2026-05-30,run,Long run,95,9.0,10:33,7
2026-05-31,strength,Lower (deadlift 315x1),60,,,9
2026-06-03,run,Tempo 4mi,46,6.0,8:50,8
2026-06-04,strength,Upper (overhead press 120x5),48,,,7
2026-06-06,run,Long run,82,8.0,10:15,6
2026-06-07,strength,Lower (squat 235x5),56,,,7
