category,item,qty,unit,status
grains,Brown rice,1,bag,plenty
grains,Pasta,2,box,ok
grains,Rolled oats,1,canister,ok
grains,Quinoa,1,bag,low
beans,Black beans,3,can,ok
beans,Lentils (dry),1,bag,low
beans,White beans,2,can,ok
oils_condiments,Olive oil,1,bottle,ok
oils_condiments,Soy sauce,1,bottle,ok
oils_condiments,Marinara sauce,1,jar,low
oils_condiments,Peanut butter,1,jar,ok
oils_condiments,Honey,1,jar,ok
oils_condiments,Hot sauce,1,bottle,plenty
spices,Chili powder,1,jar,ok
spices,Cumin,1,jar,ok
spices,Garlic powder,1,jar,ok
spices,Cinnamon,1,jar,ok
spices,Salt,1,box,plenty
spices,Black pepper,1,grinder,ok
baking,Flour,1,bag,ok
baking,Cornbread mix,1,box,low
baking,Maple syrup,1,bottle,ok
frozen,Edamame,1,bag,ok
frozen,Mixed vegetables,1,bag,ok
frozen,Frozen berries,1,bag,low
supplements,Vitamin D3,1,bottle,ok
supplements,Protein powder,1,bag,low
canned,Canned tuna,2,can,ok
canned,Diced tomatoes,3,can,ok
canned,Chicken broth,2,carton,ok
