from,subject,date,status,suggested_action,domain
Maria Gonzalez (Austin CPA Group),Q2 estimated tax reminder - due June 15,2026-06-08,needs_reply,Reply with updated consulting revenue so she can size the estimate,tax
CoolBreeze Austin,Your HVAC replacement quote,2026-06-06,needs_reply,Confirm repair vs full replace and lock the ~$9000 price before June 18 service,homestead
GEICO,Auto policy renewal notice - renews July 1,2026-06-07,time_sensitive,Compare quotes before the July 1 auto-renewal charge,insurance
Allstate,Homeowners renewal heads-up - September,2026-06-05,fyi,Revisit the $1M umbrella add-on before September renewal,insurance
TechFlow Inc,RSU vesting notice - vests August 15,2026-06-04,fyi,File for CPA coordination on the August vest tax impact,career
Camp Discovery,Registration confirmed - session starts June 15,2026-06-03,fyi,Note Maya drop-off logistics and swim Tue/Thu overlap,people
Sunset Valley Elementary,End-of-year newsletter and 2nd grade supply list,2026-06-02,fyi,Save supply list for July; last day was May 29,people
Sun Valley PM,Tenant note - minor faucet repair at Phoenix unit,2026-06-02,needs_reply,Approve the small repair and propose July walkthrough dates,homestead
Fidelity,Brokerage statement ready - May,2026-06-01,fyi,File into the monthly wealth review,wealth
Acme,Re: deliverable timeline - due June 20,2026-06-05,needs_reply,Confirm the June 20 milestone and final review call,career
BCBS,Explanation of benefits - recent visit,2026-05-30,fyi,No action; lab work from PCP visit processed,health
Austin Energy,June statement available,2026-05-29,fyi,Autopay on file; no action,homestead
